CODIGO,MET,CATEGORIA,ACTIVIDAD ESPECIFICA
08030,6.3,Césped y Jardín,"Arreglo de arbustos/terreno, trabajo de la tierra, maleza, o terreno, recoger ramas, tareas con carretilla, esfuerzo intenso"
08040,5.0,Césped y Jardín,"Excavar un arenero, usando pala"
08045,3.5,Césped y Jardín,"Excavar, uso de pala, relleno del jardín, abono de tierra, esfuerzo ligero a moderado"
08050,5.0,Césped y Jardín,"Excavar, uso de pala, relleno del jardín, abono de tierra (Código Taylor 590)"
08052,7.8,Césped y Jardín,"Excavar, uso de pala, relleno del jardín, abono de tierra, esfuerzo intenso"
08055,2.8,Césped y Jardín,"Conducir un tractor"
08057,8.3,Césped y Jardín,"Talado de árboles, gran tamaño"
08058,5.3,Césped y Jardín,"Talado de árboles, tamaño pequeño a mediano"
08060,5.8,Césped y Jardín,"Jardinería con herramientas eléctricas pesadas, cultivo de jardín, uso de motosierra"
08065,2.3,Césped y Jardín,"Jardinería, uso de containers, personas mayores de 60 años"
08070,4.0,Césped y Jardín,"Canales de riego, apertura y cierre de puertos"
08080,6.3,Césped y Jardín,"Colocación de piedras pequeñas para jardín"
08090,5.0,Césped y Jardín,"Colocación de césped"
08095,5.5,Césped y Jardín,"Corte de césped, general"
08100,2.5,Césped y Jardín,"Corte de césped, conducir una cortadora de césped (Código Taylor 550)"
08110,6.0,Césped y Jardín,"Corte de césped, caminando, con cortadora manual (Código Taylor 570)"
08120,5.0,Césped y Jardín,"Corte de césped, caminando, con cortadora eléctrica, esfuerzo moderado o vigoroso"
08125,4.5,Césped y Jardín,"Corte de césped, con cortadora eléctrica, esfuerzo ligero o moderado (Código Taylor 590)"
08130,2.5,Césped y Jardín,"Uso de máquina quitanieve, caminando"
08135,2.0,Césped y Jardín,"Plantar, abono de tierra, plantación de semillas o plantas, esfuerzo ligero"
08140,4.3,Césped y Jardín,"Plantación de semillas, arbustos, agachado, esfuerzo moderado"
08145,4.3,Césped y Jardín,"Plantación de frutas, vegetales o plantas, agachado, esfuerzo moderado"
08150,4.5,Césped y Jardín,"Plantación de árboles"
08160,3.8,Césped y Jardín,"Rastrillado de hojas o césped, esfuerzo moderado"
08165,4.0,Césped y Jardín,"Rastrillado de césped (Código Taylor 600)"
08170,4.0,Césped y Jardín,"Rastrillado de techo con rastrillo de nieve"
08180,3.0,Césped y Jardín,"Conducción de máquina quitanieve"
08190,4.0,Césped y Jardín,"Embolsado de césped, hojas"
08192,5.5,Césped y Jardín,"Uso de la pala en lodo o suciedad"
08195,5.3,Césped y Jardín,"Uso de la pala en nieve, a mano, esfuerzo moderado"
08200,6.0,Césped y Jardín,"Uso de la pala en nieve, a mano (Código Taylor 610)"
08202,7.5,Césped y Jardín,"Uso de la pala en nieve, a mano, esfuerzo intenso"
08210,4.0,Césped y Jardín,"Recorte de arbustos o árboles, corte manual"
08215,3.5,Césped y Jardín,"Recorte de arbustos o árboles, con cortadora eléctrica, uso de sopladores de hojas, bordeadoras, esfuerzo moderado"
08220,3.0,Césped y Jardín,"Caminando, aplicación de fertilizante o sembrado, aplicador a presión"
08230,1.5,Césped y Jardín,"Riego de césped o jardín, de pie o caminando"
08239,3.5,Césped y Jardín,"Desmalezado, cultivo del jardín, esfuerzo ligero a moderado"
08240,4.5,Césped y Jardín,"Desmalezado, cultivo del jardín (Código Taylor 580)"
08241,5.0,Césped y Jardín,"Desmalezado, cultivo del jardín, uso de la azada, esfuerzo moderado a intenso"
08245,3.8,Césped y Jardín,"Jardinería, general, esfuerzo moderado"
08246,3.5,Césped y Jardín,"Recolección de frutas de árboles, recolección de frutas/vegetales, esfuerzo moderado"
08248,4.5,Césped y Jardín,"Recolección de frutas de árboles, cosecha de frutas, recolección de frutas/vegetales, uso de escalera para recolección de frutas, esfuerzo intenso"
08250,3.3,Césped y Jardín,"Cuidado del jardín, esfuerzo ligero, recolección de flores o vegetales, caminando/de pie"
08251,3.0,Césped y Jardín,"Recolección de herramientas de jardinería, caminando"
08255,5.5,Césped y Jardín,"Empuje de carro de jardinería o carretilla"
08260,3.0,Césped y Jardín,"Jardinería, general, esfuerzo ligero"
08261,4.0,Césped y Jardín,"Jardinería, general, esfuerzo moderado"
08262,6.0,Césped y Jardín,"Jardinería, general, esfuerzo intenso"
09000,1.5,Misceláneas,"Juegos de mesa, sentado"
09005,2.5,Misceláneas,"Juegos en casino, de pie"
09010,1.5,Misceláneas,"Juego de cartas, sentado"
09013,1.5,Misceláneas,"Juego de ajedrez, sentado"
09015,1.5,Misceláneas,"Fotocopiado de documentos, de pie"
09020,1.8,Misceláneas,"Dibujo, escritura, pintura, de pie"
09025,1.0,Misceláneas,"Reírse, sentado"
09030,1.3,Misceláneas,"Sentado, lectura de libro, periódico, etc"
09040,1.3,Misceláneas,"Sentado, escritura, trabajo de escritorio, tipeo"
09045,1.0,Misceláneas,"Sentado, uso de video juegos tradicionales, juegos en computadora"
09050,1.8,Misceláneas,"De pie, conversación, en persona, al teléfono, computadora o mensaje de texto, esfuerzo ligero"
09055,1.5,Misceláneas,"De pie, conversación, en persona, al teléfono, computadora o mensaje de texto, esfuerzo ligero"
09060,1.3,Misceláneas,"Sentado, estudiando, general, leyendo y/o escribiendo, esfuerzo ligero"
09065,1.8,Misceláneas,"Sentado, en clases, general, tomando nota o en discusión de temas"
09070,1.8,Misceláneas,"De pie, lectura"
09071,2.5,Misceláneas,"De pie, misceláneas"
09075,1.8,Misceláneas,"Sentado, arte y artesanías, tallado de madera, tejido, hilado de lana, esfuerzo ligero"
09080,3.0,Misceláneas,"Sentado, arte y artesanías, tallado de madera, tejido, hilado de lana, esfuerzo moderado"
09085,2.5,Misceláneas,"De pie, arte y artesanías, pintura sobre arena, tallado, tejido, esfuerzo ligero"
09090,3.3,Misceláneas,"De pie, arte y artesanías, pintura sobre arena, tallado, tejido, esfuerzo moderado"
09095,3.5,Misceláneas,"De pie, arte y artesanías, pintura sobre arena, tallado, tejido, esfuerzo intenso"
09100,1.8,Misceláneas,"Reuniones familiares, sentado, relajado, conversando, comiendo"
09101,3.0,Misceláneas,"Reuniones familiares, juego con niños"
09105,2.0,Misceláneas,"Turismo/viaje/vacaciones conduciendo un vehículo"
09106,3.5,Misceláneas,"Turismo/viaje/vacaciones caminando"
09110,2.5,Misceláneas,"Camping, de pie, caminando, sentado, esfuerzo ligero a moderado"
09115,1.5,Misceláneas,"Sentado en evento deportivo, espectador"
10010,1.8,Instrumentos Musicales,"Acordeón, sentado"
10020,2.3,Instrumentos Musicales,"Violonchelo, sentado"
10030,2.3,Instrumentos Musicales,"Dirección de orquesta, de pie"
10035,2.5,Instrumentos Musicales,"Contrabajo, de pie"
10040,3.8,Instrumentos Musicales,"Batería, sentado"
10045,3.0,Instrumentos Musicales,"Percusión (ej, bongo, conga, benbe), esfuerzo moderado, sentado"
10050,2.0,Instrumentos Musicales,"Flauta, sentado"
10060,1.8,Instrumentos Musicales,"Cuerno, de pie"
10070,2.3,Instrumentos Musicales,"Piano, sentado"
10074,2.0,Instrumentos Musicales,"Uso de instrumentos musicales, general"
10077,2.0,Instrumentos Musicales,"Órgano, sentado"
10080,3.5,Instrumentos Musicales,"Trombón, de pie"
10090,1.8,Instrumentos Musicales,"Trompeta, de pie"
10100,2.5,Instrumentos Musicales,"Violín, sentado"
10110,1.8,Instrumentos Musicales,"Instrumentos de viento, sentado"
10120,2.0,Instrumentos Musicales,"Guitarra, clásica, folklore, sentado"
10125,3.0,Instrumentos Musicales,"Guitarra, banda de rock and roll, de pie"
10130,4.0,Instrumentos Musicales,"Banda de desfile, giro de bastón, caminando, paso moderado, general"
10131,5.5,Instrumentos Musicales,"Banda de desfile, tocando un instrumento, caminando, paso rápido, general"
10135,3.5,Instrumentos Musicales,"Banda de desfile, tambor principal, caminando"
11003,2.3,Ocupación u Oficios,"Trabajo activo con micro ordenador, escritorio con tapiz rodante, caminando"
11006,3.0,Ocupación u Oficios,Azafata
11010,4.0,Ocupación u Oficios,"Panadería, general, esfuerzo moderado"
11015,2.0,Ocupación u Oficios,"Panadería, esfuerzo ligero"
11020,2.3,Ocupación u Oficios,Encuadernación
11030,6.0,Ocupación u Oficios,"Construcción de carreteras, manejo de maquinaria pesada"
11035,2.0,Ocupación u Oficios,"Construcción de carreteras, dirección de tráfico, de pie"
11038,2.5,Ocupación u Oficios,"Carpintería, general, esfuerzo ligero"
11040,4.3,Ocupación u Oficios,"Carpintería, general, esfuerzo moderado"
11042,7.0,Ocupación u Oficios,"Carpintería, general, esfuerzo intenso"
11050,8.0,Ocupación u Oficios,"Transporte de cargas pesadas (ej, ladrillos, herramientas)"
11060,8.0,Ocupación u Oficios,"Transporte de cargas moderadas subiendo escaleras, con cajas de 11-22 kg"
11070,4.0,Ocupación u Oficios,"Camarero, empleado de hotel, armado de camas, limpieza de baño, empuje de carro de limpieza"
11080,5.3,Ocupación u Oficios,"Extracción de carbón, perforación y obtención de rocas"
11090,5.0,Ocupación u Oficios,"Extracción de carbón, uso de soporte"
11100,5.5,Ocupación u Oficios,"Extracción de carbón, general"
11110,6.3,Ocupación u Oficios,"Extracción de carbón, con pala"
11115,2.5,Ocupación u Oficios,"Cocina, chef"
11120,4.0,Ocupación u Oficios,"Construcción, exteriores del hogar, remodelado, nuevas estructuras (ej: reparación de techos, misceláneas)"
11125,2.3,Ocupación u Oficios,"Servicio de portería, esfuerzo ligero (ej: limpieza de sanitarios, uso de aspiradora, plumero, limpieza ligera)"
11126,3.8,Ocupación u Oficios,"Servicio de portería, esfuerzo moderado (ej: lustrar, barrer, trapear, retirar basura, usar la aspiradora)"
11128,2.0,Ocupación u Oficios,"Manejo de camión de reparto, taxi, ómnibus"
11130,3.3,Ocupación u Oficios,"Trabajo eléctrico (ej: conexión de cables, redes eléctricas)"
11135,1.8,Ocupación u Oficios,"Ingeniería (ej: mecánica o eléctrica)"
11145,7.8,Ocupación u Oficios,"Agricultura, esfuerzo intenso (ej: empacado de heno, limpieza de establo)"
11146,4.8,Ocupación u Oficios,"Agricultura, esfuerzo moderado (ej: alimentar animales, persecución de ganado caminando y/o caballo, abono con estiércol, recolección de cosecha)"
11147,2.0,Ocupación u Oficios,"Agricultura, esfuerzo ligero (ej: limpieza de corrales, preparación de alimento para animales)"
11170,2.8,Ocupación u Oficios,"Agricultura, tareas de manejo (ej: manejo de tractor o cosechadora)"
11180,3.5,Ocupación u Oficios,"Agricultura, alimentación de pequeños animales"
11190,4.3,Ocupación u Oficios,"Agricultura, alimentación de ganado, caballos"
11191,4.3,Ocupación u Oficios,"Agricultura, transporte de agua para animales, transporte de agua en general"
11192,4.5,Ocupación u Oficios,"Agricultura, cuidado de animales (ej: acicalado, cepillado, esquilado de ovejas, asistencia en el nacimiento, cuidado médico, yerra de animales)"
11195,3.8,Ocupación u Oficios,"Agricultura, plantación de arroz, molienda de granos"
11210,3.5,Ocupación u Oficios,"Agricultura, ordeñado a mano, limpieza de cubetas, esfuerzo moderado"
11220,1.3,Ocupación u Oficios,"Agricultura, ordeñado con ordeñadora, esfuerzo ligero"
11240,8.0,Ocupación u Oficios,"Bombero, general"
11244,6.8,Ocupación u Oficios,"Bombero, rescate de víctimas, accidente automovilístico, uso de herramientas en gancho"
11245,8.0,Ocupación u Oficios,"Bombero, en ascenso y trepada con uniforme completo, entrenamiento de simulación"
11246,9.0,Ocupación u Oficios,"Bombero, recolección de mangueras, transporte/carga de equipamiento, rotura de muros, etc, uso de equipamiento completo"
11247,3.5,Ocupación u Oficios,"Pesca, comercial, esfuerzo ligero"
11248,5.0,Ocupación u Oficios,"Pesca, comercial, esfuerzo moderado"
11249,7.0,Ocupación u Oficios,"Pesca, comercial, esfuerzo intenso"
11250,17.5,Ocupación u Oficios,"Forestación, corte con hacha, muy rápido, peso del hacha 1,25 Kg, 51 golpes/min, esfuerzo extremadamente intenso"
11260,5.0,Ocupación u Oficios,"Forestación, corte con hacha, lento, peso del hacha 1,25 Kg, 19 golpes/min, esfuerzo moderado"
11262,8.0,Ocupación u Oficios,"Forestación, corte con hacha, rápido, peso del hacha 1,25 Kg, 35 golpes/min, esfuerzo intenso"
11264,4.5,Ocupación u Oficios,"Forestación, esfuerzo moderado (ej: uso de sierra eléctrica, desmalezado, uso de la azada)"
11266,8.0,Ocupación u Oficios,"Forestación, esfuerzo intenso (ej: descortezado, talado, o recorte de árboles, transporte o apilamiento de troncos, plantación de semillas, uso de sierra manual)"
11370,4.5,Ocupación u Oficios,Peletería
11375,4.0,Ocupación u Oficios,"Recolección de basura, caminando, arrojando basura al camión recolector"
11378,1.8,Ocupación u Oficios,"Estilista de cabello (ej: trenzado del cabello, manicuría, cosmetología)"
11380,7.3,Ocupación u Oficios,"Acicalado de caballos, alimentación, limpieza de casilla, ducha, cepillado, recorte, entrenamiento y ejercitación de caballos"
11381,4.3,Ocupación u Oficios,"Alimentación de caballos, limpieza de casilla, caminando y transportando cargas"
11390,7.3,Ocupación u Oficios,"Carrera de caballos, galope"
11400,5.8,Ocupación u Oficios,"Carrera de caballos, trote"
11410,3.8,Ocupación u Oficios,"Carrera de caballos, caminata"
11413,3.0,Ocupación u Oficios,"Servicio de cocina"
11415,4.0,Ocupación u Oficios,"Jardinería, trabajo de jardín, general"
11418,3.3,Ocupación u Oficios,"Empleado de lavandería"
11420,3.0,Ocupación u Oficios,Cerrajero
11430,3.0,Ocupación u Oficios,"Operador de máquinas (ej: mecánica, trabajo sobre hojas de metal, operario de máquinas, tornería, soldado), esfuerzo ligero a moderado"
11450,5.0,Ocupación u Oficios,"Operario de máquinas, prensado, esfuerzo moderado"
11472,1.8,Ocupación u Oficios,"Administrador, de propiedades"
11475,2.8,Ocupación u Oficios,"Trabajo manual o no cualificado, general, esfuerzo ligero"
11476,4.5,Ocupación u Oficios,"Trabajo manual o no cualificado, general, esfuerzo moderado"
11477,6.5,Ocupación u Oficios,"Trabajo manual o no cualificado, general, esfuerzo intenso"
11480,4.3,Ocupación u Oficios,"Albañilería, hormigón, esfuerzo moderado"
11482,2.5,Ocupación u Oficios,"Albañilería, hormigón, esfuerzo ligero"
11485,4.0,Ocupación u Oficios,"Masajista terapéutico, de pie"
11490,7.5,Ocupación u Oficios,"Mudanza, transporte o empuje de objetos pesados, 34 kg o más, solo períodos activos (ej: escritorios, uso de camionetas de mudanza)"
11495,12.0,Ocupación u Oficios,"Buceo o submarinismo, agentes de marina"
11500,2.5,Ocupación u Oficios,"Operario de equipamiento pesado, automatizado, sin manejo"
11510,4.5,Ocupación u Oficios,"Trabajo en plantación de naranjos, recolección de frutas"
11514,3.3,Ocupación u Oficios,"Pintura, de casa, muebles, esfuerzo moderado"
11516,3.0,Ocupación u Oficios,Plomería
11520,2.0,Ocupación u Oficios,"Impresiones, trabajador en industria del papel, de pie"
11525,2.5,Ocupación u Oficios,"Policía, dirección de tráfico, de pie"
11526,2.5,Ocupación u Oficios,"Policía, manejo de patrulla, sentado"
11527,1.3,Ocupación u Oficios,"Policía, acompañante de patrulla, sentado"
11528,4.0,Ocupación u Oficios,"Policía, en actividad de arresto, de pie"
11529,2.3,Ocupación u Oficios,"Cartero, entrega de cartas caminando"
11530,2.0,Ocupación u Oficios,"Zapatero, general"
11540,7.8,Ocupación u Oficios,"Uso de la pala, cavar un hoyo"
11550,8.8,Ocupación u Oficios,"Uso de la pala, más de 7 kg/min, cavado en profundidad, esfuerzo intenso"
11560,5.0,Ocupación u Oficios,"Uso de la pala, menos de 4,5 kg/min, esfuerzo moderado"
11570,6.5,Ocupación u Oficios,"Uso de la pala, 4,5 a 7 kg/min, esfuerzo intenso"
11580,1.5,Ocupación u Oficios,"Tareas sentado, esfuerzo ligero (ej: trabajo de oficina, laboratorio, informática, reparación de relojes, ensamblaje, lectura, trabajo de escritorio)"
11585,1.5,Ocupación u Oficios,"Reuniones, sentado, esfuerzo ligero, general, y/o conversando (ej: comida en una reunión de negocios)"
11590,2.5,Ocupación u Oficios,"Tareas sentado, esfuerzo moderado (ej: empuje de palancas pesadas, manejo de montacargas/corta césped, grúas)"
11593,2.8,Ocupación u Oficios,"Sentado, enseñanza de stretching o yoga, o ejercicios de esfuerzo ligero"
11600,3.0,Ocupación u Oficios,"Tareas de pie, esfuerzo ligero (ej: atención en barra de bar, empleado, ensamblaje, tareas de archivo y biblioteca, copiado, armado de árbol de navidad, de pie y conversando en el trabajo, cambio de ropa para la enseñanza de educación física, de pie)"
11610,3.0,Ocupación u Oficios,"De pie, esfuerzo ligero/moderado (ej: ensamblaje/reparación de partes pesadas, soldadura, almacenamiento de piezas, reparación de automóviles, empaquetamiento de cajas, cuidado de pacientes)"
11615,4.5,Ocupación u Oficios,"De pie, esfuerzo moderado, movilización de objetos continuamente, 4,5-9 Kg, con breves períodos de descanso o caminata"
11620,3.5,Ocupación u Oficios,"De pie, esfuerzo moderado, movilización intermitente de objetos de 23 Kg, enganche/desenganche de sogas"
11630,4.5,Ocupación u Oficios,"De pie, tareas moderadas/intensas (ej: movilización de más de 23 Kg, albañilería, pintura, empapelado)"
11708,5.3,Ocupación u Oficios,"Trabajo del acero, esfuerzo moderado (ej: moldeado, forjado, recambio de moldes)"
11710,8.3,Ocupación u Oficios,"Trabajo del acero, esfuerzo intenso (ej: laminado a mano, laminado de productos siderúrgicos, remoción de escombros, cuidado del horno o caldera)"
11720,2.3,Ocupación u Oficios,"Sastrería, corte de tela"
11730,2.5,Ocupación u Oficios,"Sastrería, general"
11740,1.8,Ocupación u Oficios,"Sastrería, costura manual"
11750,2.5,Ocupación u Oficios,"Sastrería, con máquina de coser"
11760,3.5,Ocupación u Oficios,"Sastrería, planchado"
11763,2.0,Ocupación u Oficios,"Sastrería, tejido, esfuerzo ligero (ej: finalización de actividades, lavado, teñido, inspección de ropa, conteo en depósito, papeleo)"
11765,4.0,Ocupación u Oficios,"Sastrería, tejido, esfuerzo moderado (ej: hilado y tejido, transporte de cajas de hilo, carga de carreteles, estampado de pins, enrollado de hilo, urdimbre y trama, corte de tela)"
11766,6.5,Ocupación u Oficios,"Transporte de camiones, carga y descarga de camiones, soportar cargas, de pie, caminar y transportar cargas pesadas"
11767,2.0,Ocupación u Oficios,"Transporte, manejo de camiones repartidores, taxi, colectivos de transporte, escolares"
11770,1.3,Ocupación u Oficios,"Tipeo, eléctrico, manual o en computadora"
11780,6.3,Ocupación u Oficios,"Uso de herramientas eléctricas como herramientas neumáticas pesadas (ej: martillos neumáticos, taladros)"
11790,8.0,Ocupación u Oficios,"Uso de herramientas pesadas (no eléctricas) como pala, pico, palancas"
11791,2.0,Ocupación u Oficios,"Caminata en el trabajo, menos de 3 km/h, muy baja velocidad, en oficina o área de laboratorio"
11792,3.5,Ocupación u Oficios,"Caminata en el trabajo, 5 km/h, en oficina, velocidad moderada, sin transporte de objetos"
11793,4.3,Ocupación u Oficios,"Caminata en el trabajo, 5,6 km/h, en oficina, caminata rápida, sin transporte de objetos"
11795,3.5,Ocupación u Oficios,"Caminata en el trabajo, 4 Km/h, baja velocidad y transportando objetos livianos menores de 11 Kg"
11796,3.0,Ocupación u Oficios,"Caminata, recogiendo objetos para el trabajo, a momentos de salir"
11797,3.8,Ocupación u Oficios,"Caminata, 4 Km/h, baja velocidad, transportando objetos pesados mayores de 11 Kg"
11800,4.5,Ocupación u Oficios,"Caminata, 5 km/h, velocidad moderada y transportando objetos livianos menores de 11 Kg"
11805,3.5,Ocupación u Oficios,"Caminata, empujando una silla de ruedas"
11810,4.8,Ocupación u Oficios,"Caminata, 5,6 Km/h, rápida y transportando objetos menores de 11 Kg"
11820,5.0,Ocupación u Oficios,"Caminata o descenso de escaleras o de pie, transportando objetos entre 11 y 22 Kg"
11830,6.5,Ocupación u Oficios,"Caminata o descenso de escaleras o de pie, transportando objetos entre 22,6 y 33,5 kg"
11840,7.5,Ocupación u Oficios,"Caminata o descenso de escaleras o de pie, transportando objetos entre 34 y 45 Kg"
11850,8.5,Ocupación u Oficios,"Caminata o descenso de escaleras o de pie, transportando objetos de 45 kg o mayores"
11870,3.0,Ocupación u Oficios,"Preparación de escena, actor de teatro, empleado detrás de cámaras o bastidores"
12010,6.0,Carrera,"Combinación de trote/caminata (trote menor a 10 minutos) (Código Taylor 180)"
12020,7.0,Carrera,"Trote, general"
12025,8.0,Carrera,"Trote, sin desplazamiento"
12027,4.5,Carrera,"Trote, sobre un mini-tramp"
12029,6.0,Carrera,"Correr, 6,5 km/h (9 min/km)"
12030,8.3,Carrera,"Correr, 8 km/h (7,5 min/km)"
12040,9.0,Carrera,"Correr, 8,4 km/h (7,3 min/km)"
12050,9.8,Carrera,"Correr, 9,6 km/h (6,3 min/km)"
12060,10.5,Carrera,"Correr, 10,8 km/h (5,5 min/km)"
12070,11.0,Carrera,"Correr, 11,3 km/h (5,3 min/km)"
12080,11.5,Carrera,"Correr, 12 km/h (5 min/km)"
12090,11.8,Carrera,"Correr, 12,9 km/h (4,7 min/km)"
12100,12.3,Carrera,"Correr, 13,8 km/h (4,3 min/km)"
12110,12.8,Carrera,"Correr, 14,5 km/h (4,1 min/km)"
12120,14.5,Carrera,"Correr, 16 km/h (3,8 min/km)"
12130,16.0,Carrera,"Correr, 17,7 km/h (3,4 min/km)"
12132,19.0,Carrera,"Correr, 19,3 km/h (3,1 min/km)"
12134,19.8,Carrera,"Correr, 20,9 km/h (2,9 min/km)"
12135,23.0,Carrera,"Correr, 22,5 km/h (2,6 min/km)"
12140,9.0,Carrera,"Correr, cross country"
12150,8.0,Carrera,"Correr (Código Taylor 200)"
12170,15.0,Carrera,"Correr, subiendo escaleras"
12180,10.0,Carrera,"Correr, sobre una cinta, entrenamiento en grupo"
12190,8.0,Carrera,"Correr, entrenamiento, empujando una silla de ruedas o carro de bebé"
12200,13.3,Carrera,"Correr, maratón"
13000,2.3,Cuidado Personal,"Preparación para irse a la cama, general, de pie"
13009,1.8,Cuidado Personal,"Sentado, en el toilet, evacuando de pié o en semi flexión"
13010,1.5,Cuidado Personal,"Bañarse, sentado"
13020,2.5,Cuidado Personal,"Vestirse, desvestirse, de pie o sentado"
13030,1.5,Cuidado Personal,"Comer, sentado"
13035,2.0,Cuidado Personal,"Conversar y comer o comer solamente, de pie"
13036,1.5,Cuidado Personal,"Ingesta de medicamentos, sentado o de pie"
13040,2.0,Cuidado Personal,"Acicalarse, lavarse las manos, afeitarse, cepillarse los dientes, maquillarse, sentado o de pie"
13045,2.5,Cuidado Personal,"Peinarse, de pie"
13046,1.3,Cuidado Personal,"Peinado y manicuría realizados por otra persona, sentado"
13050,2.0,Cuidado Personal,"Ducharse, secarse, de pie"
14010,2.8,Actividad Sexual,"Sujeto activo, esfuerzo intenso"
14020,1.8,Actividad Sexual,"General, esfuerzo moderado"
14030,1.3,Actividad Sexual,"Sujeto pasivo, esfuerzo ligero, besarse, abrazarse"
15000,5.5,Deportes,"Juegos originarios de Alaska, Juegos olímpicos esquimales, general"
15010,4.3,Deportes,"Arquería, no de caza"
15020,7.0,Deportes,"Bádminton, competitivo (Código Taylor 450)"
15030,5.5,Deportes,"Bádminton, dobles y singles, general"
